zilla,lat,long,May08
Dhaka,23.7115253,90.4111451,6365.0
Faridpur,23.6070822,89.8429406,21.0
Gazipur,24.0022858,90.4264283,330.0
Gopalganj,23.0050857,89.8266059,49.0
Jamalpur,24.937533,89.937775,102.0
Kishoreganj,24.444937,90.776575,202.0
Madaripur,23.164102,90.1896805,54.0
Manikganj,23.707310,90.415480,28.0
Munshiganj,23.707310,90.415482,210.0
Mymensingh,24.749390,90.398212,204.0
Narayanganj,23.63366,90.496482,1136.0
Narsingdi,23.932233,90.71541,171.0
Netrokona,24.870955,90.727887,64.0
Rajbari,23.7574305,89.6444665,23.0
Shariatpur,23.219435,90.347595,57.0
Sherpur,25.0204933,90.0152966,30.0
Tangail,24.250039,89.918442,31.0
Bogura,24.8465228,89.377755,18.0
Joypurhat,25.102025,89.029097,39.0
Naogaon,24.804725,88.933210,24.0
Natore,24.420556,89.000282,12.0
Nawabganj,24.5965034,88.2775122,0.0
Pabna,23.998524,89.233645,16.0
Rajshahi,24.380200,88.608308,26.0
Sirajgonj,24.4533978,89.7006815,6.0
Dinajpur,25.6217061,88.6354504,36.0
Gaibandha,25.328751,89.528088,24.0
Kurigram,25.805445,89.636174,33.0
Lalmonirhat,25.920371,89.449666,13.0
Nilphamari,25.931794,88.856006,35.0
Panchagarh,26.3411,88.5541606,10.0
Rangpur,25.7558096,89.244462,89.0
Thakurgaon,26.0336945,88.4616834,23.0
Barguna,22.159003,90.115309,34.0
Barishal,22.702506,90.351744,48.0
Bhola,22.685923,90.648179,7.0
Jhalokati,22.645839,90.198251,13.0
Patuakhali,22.3596316,90.3298712,28.0
Pirojpur,22.586507,89.977132,0.0
Bandarban,22.1953275,92.2183773,4.0
Brahmanbaria,23.9570904,91.1119286,57.0
Chandpur,23.2332585,90.6712912,43.0
Chattogram,22.335109,91.834073,159.0
Cumilla,23.4682747,91.1788135,150.0
Cox's Bazar,21.441297,91.983673,72.0
Feni,23.023231,91.3840844,8.0
Khagrachari,23.119285,91.984663,2.0
Lakshmipur,22.942477,90.841184,50.0
Noakhali,22.869563,91.099398,27.0
Rangamati,22.656551,92.172890,4.0
Habiganj,24.374945,91.41553,70.0
Maulvibazar,24.482934,91.777417,30.0
Sunamganj,25.0658042,91.3950115,35.0
Sylhet,24.8897956,91.8697894,28.0
Bagerhat,22.651568,89.785938,2.0
Chuadanga,23.6401961,88.841841,23.0
Jashore,23.16643,89.2081126,79.0
Jhenaidah,23.5448176,89.1539213,34.0
Khulna,22.815774,89.568679,20.0
Kushtia,23.901258,89.120482,20.0
Magura,23.487337,89.419956,11.0
Meherpur,23.762213,88.631821,5.0
Narail,23.172534,89.512672,13.0
Satkhira,22.711683,89.084228,4.0
