Zilla,Date,Cases
Bagerhat,15/04/2020,0
Bagerhat,16/04/2020,0
Bagerhat,17/04/2020,1
Bagerhat,18/04/2020,1
Bagerhat,19/04/2020,1
Bagerhat,20/04/2020,2
Bagerhat,21/04/2020,1
Bagerhat,22/04/2020,1
Bagerhat,23/04/2020,1
Bagerhat,24/04/2020,1
Bagerhat,25/04/2020,1
Bagerhat,26/04/2020,1
Bagerhat,27/04/2020,1
Bagerhat,28/04/2020,1
Bagerhat,29/04/2020,1
Bagerhat,30/04/2020,2
Bagerhat,1/5/2020,2
Bagerhat,2/5/2020,2
Bagerhat,3/5/2020,2
Bagerhat,4/5/2020,2
Bagerhat,5/5/2020,2
Bagerhat,6/5/2020,2
Bagerhat,7/5/2020,2
Bagerhat,8/5/2020,2
Bagerhat,9/5/2020,3
Bagerhat,10/5/2020,3
Bandarban,15/04/2020,0
Bandarban,16/04/2020,0
Bandarban,17/04/2020,1
Bandarban,18/04/2020,1
Bandarban,19/04/2020,1
Bandarban,20/04/2020,1
Bandarban,21/04/2020,1
Bandarban,22/04/2020,4
Bandarban,23/04/2020,4
Bandarban,24/04/2020,4
Bandarban,25/04/2020,4
Bandarban,26/04/2020,4
Bandarban,27/04/2020,4
Bandarban,28/04/2020,4
Bandarban,29/04/2020,4
Bandarban,30/04/2020,4
Bandarban,1/5/2020,7
Bandarban,2/5/2020,7
Bandarban,3/5/2020,7
Bandarban,4/5/2020,7
Bandarban,5/5/2020,4
Bandarban,6/5/2020,4
Bandarban,7/5/2020,4
Bandarban,8/5/2020,4
Bandarban,9/5/2020,4
Bandarban,10/5/2020,4
Barguna,15/04/2020,4
Barguna,16/04/2020,4
Barguna,17/04/2020,5
Barguna,18/04/2020,9
Barguna,19/04/2020,10
Barguna,20/04/2020,12
Barguna,21/04/2020,17
Barguna,22/04/2020,17
Barguna,23/04/2020,20
Barguna,24/04/2020,23
Barguna,25/04/2020,23
Barguna,26/04/2020,30
Barguna,27/04/2020,30
Barguna,28/04/2020,30
Barguna,29/04/2020,30
Barguna,30/04/2020,30
Barguna,1/5/2020,33
Barguna,2/5/2020,33
Barguna,3/5/2020,36
Barguna,4/5/2020,36
Barguna,5/5/2020,33
Barguna,6/5/2020,33
Barguna,7/5/2020,34
Barguna,8/5/2020,34
Barguna,9/5/2020,35
Barguna,10/5/2020,37
Barisal,15/04/2020,10
Barisal,16/04/2020,12
Barisal,17/04/2020,17
Barisal,18/04/2020,18
Barisal,19/04/2020,21
Barisal,20/04/2020,24
Barisal,21/04/2020,32
Barisal,22/04/2020,34
Barisal,23/04/2020,34
Barisal,24/04/2020,35
Barisal,25/04/2020,38
Barisal,26/04/2020,38
Barisal,27/04/2020,38
Barisal,28/04/2020,40
Barisal,29/04/2020,40
Barisal,30/04/2020,40
Barisal,1/5/2020,40
Barisal,2/5/2020,40
Barisal,3/5/2020,41
Barisal,4/5/2020,41
Barisal,5/5/2020,41
Barisal,6/5/2020,41
Barisal,7/5/2020,47
Barisal,8/5/2020,48
Barisal,9/5/2020,48
Barisal,10/5/2020,54
Bhola,15/04/2020,0
Bhola,16/04/2020,0
Bhola,17/04/2020,0
Bhola,18/04/2020,0
Bhola,19/04/2020,0
Bhola,20/04/2020,0
Bhola,21/04/2020,0
Bhola,22/04/2020,0
Bhola,23/04/2020,0
Bhola,24/04/2020,2
Bhola,25/04/2020,2
Bhola,26/04/2020,2
Bhola,27/04/2020,2
Bhola,28/04/2020,4
Bhola,29/04/2020,5
Bhola,30/04/2020,5
Bhola,1/5/2020,5
Bhola,2/5/2020,5
Bhola,3/5/2020,5
Bhola,4/5/2020,5
Bhola,5/5/2020,5
Bhola,6/5/2020,6
Bhola,7/5/2020,7
Bhola,8/5/2020,7
Bhola,9/5/2020,7
Bhola,10/5/2020,7
Bogra,15/04/2020,0
Bogra,16/04/2020,0
Bogra,17/04/2020,1
Bogra,18/04/2020,1
Bogra,19/04/2020,1
Bogra,20/04/2020,1
Bogra,21/04/2020,2
Bogra,22/04/2020,5
Bogra,23/04/2020,10
Bogra,24/04/2020,10
Bogra,25/04/2020,11
Bogra,26/04/2020,17
Bogra,27/04/2020,17
Bogra,28/04/2020,17
Bogra,29/04/2020,18
Bogra,30/04/2020,19
Bogra,1/5/2020,19
Bogra,2/5/2020,19
Bogra,3/5/2020,19
Bogra,4/5/2020,19
Bogra,5/5/2020,18
Bogra,6/5/2020,18
Bogra,7/5/2020,18
Bogra,8/5/2020,18
Bogra,9/5/2020,18
Bogra,10/5/2020,18
Brahamanbaria,15/04/2020,8
Brahamanbaria,16/04/2020,8
Brahamanbaria,17/04/2020,9
Brahamanbaria,18/04/2020,10
Brahamanbaria,19/04/2020,11
Brahamanbaria,20/04/2020,11
Brahamanbaria,21/04/2020,11
Brahamanbaria,22/04/2020,24
Brahamanbaria,23/04/2020,25
Brahamanbaria,24/04/2020,25
Brahamanbaria,25/04/2020,29
Brahamanbaria,26/04/2020,31
Brahamanbaria,27/04/2020,35
Brahamanbaria,28/04/2020,35
Brahamanbaria,29/04/2020,37
Brahamanbaria,30/04/2020,40
Brahamanbaria,1/5/2020,43
Brahamanbaria,2/5/2020,43
Brahamanbaria,3/5/2020,44
Brahamanbaria,4/5/2020,55
Brahamanbaria,5/5/2020,56
Brahamanbaria,6/5/2020,56
Brahamanbaria,7/5/2020,56
Brahamanbaria,8/5/2020,57
Brahamanbaria,9/5/2020,57
Brahamanbaria,10/5/2020,57
Chandpur,15/04/2020,6
Chandpur,16/04/2020,7
Chandpur,17/04/2020,8
Chandpur,18/04/2020,8
Chandpur,19/04/2020,8
Chandpur,20/04/2020,10
Chandpur,21/04/2020,10
Chandpur,22/04/2020,10
Chandpur,23/04/2020,10
Chandpur,24/04/2020,10
Chandpur,25/04/2020,10
Chandpur,26/04/2020,11
Chandpur,27/04/2020,11
Chandpur,28/04/2020,11
Chandpur,29/04/2020,13
Chandpur,30/04/2020,14
Chandpur,1/5/2020,15
Chandpur,2/5/2020,15
Chandpur,3/5/2020,15
Chandpur,4/5/2020,15
Chandpur,5/5/2020,27
Chandpur,6/5/2020,37
Chandpur,7/5/2020,42
Chandpur,8/5/2020,43
Chandpur,9/5/2020,55
Chandpur,10/5/2020,55
Nawabganj,15/04/2020,0
Nawabganj,16/04/2020,0
Nawabganj,17/04/2020,0
Nawabganj,18/04/2020,0
Nawabganj,19/04/2020,0
Nawabganj,20/04/2020,0
Nawabganj,21/04/2020,1
Nawabganj,22/04/2020,1
Nawabganj,23/04/2020,1
Nawabganj,24/04/2020,1
Nawabganj,25/04/2020,1
Nawabganj,26/04/2020,2
Nawabganj,27/04/2020,2
Nawabganj,28/04/2020,2
Nawabganj,29/04/2020,2
Nawabganj,30/04/2020,2
Nawabganj,1/5/2020,2
Nawabganj,2/5/2020,2
Nawabganj,3/5/2020,2
Nawabganj,4/5/2020,2
Nawabganj,5/5/2020,2
Nawabganj,6/5/2020,2
Nawabganj,7/5/2020,11
Nawabganj,8/5/2020,12
Nawabganj,9/5/2020,14
Nawabganj,10/5/2020,14
Chittagong,15/04/2020,31
Chittagong,16/04/2020,36
Chittagong,17/04/2020,37
Chittagong,18/04/2020,38
Chittagong,19/04/2020,39
Chittagong,20/04/2020,43
Chittagong,21/04/2020,41
Chittagong,22/04/2020,42
Chittagong,23/04/2020,45
Chittagong,24/04/2020,45
Chittagong,25/04/2020,46
Chittagong,26/04/2020,48
Chittagong,27/04/2020,56
Chittagong,28/04/2020,67
Chittagong,29/04/2020,70
Chittagong,30/04/2020,74
Chittagong,1/5/2020,75
